Gene	Gene description	Concentration
HLA-DPA1	"Major histocompatibility complex, class II, DP alpha 1"	92 ng/L
RPRD2	Regulation of nuclear pre-mRNA domain containing 2	91 ng/L
CD74	CD74 molecule	90 ng/L
DDX17	DEAD-box helicase 17	90 ng/L
SPINK7	"Serine peptidase inhibitor, Kazal type 7 (putative)"	90 ng/L
HIBCH	3-hydroxyisobutyryl-CoA hydrolase	90 ng/L
RPS18	Ribosomal protein S18	90 ng/L
DPYS	Dihydropyrimidinase	89 ng/L
GFRA1	GDNF family receptor alpha 1	89 ng/L
HEPACAM2	HEPACAM family member 2	89 ng/L
IFI30	"IFI30, lysosomal thiol reductase"	89 ng/L
COCH	Cochlin	88 ng/L
PBDC1	Polysaccharide biosynthesis domain containing 1	88 ng/L
GALNT3	Polypeptide N-acetylgalactosaminyltransferase 3	88 ng/L
C20orf27	Chromosome 20 open reading frame 27	87 ng/L
MANEA	Mannosidase endo-alpha	87 ng/L
HSPB6	Heat shock protein family B (small) member 6	86 ng/L
PTGFRN	Prostaglandin F2 receptor inhibitor	86 ng/L
NEU1	Neuraminidase 1	86 ng/L
BCAT1	Branched chain amino acid transaminase 1	85 ng/L
ACE2	Angiotensin I converting enzyme 2	85 ng/L
ABHD10	Abhydrolase domain containing 10	85 ng/L
PTK2B	Protein tyrosine kinase 2 beta	84 ng/L
COPS4	COP9 signalosome subunit 4	84 ng/L
PACSIN2	Protein kinase C and casein kinase substrate in neurons 2	83 ng/L
LY86	Lymphocyte antigen 86	83 ng/L
MMP8	Matrix metallopeptidase 8	83 ng/L
EPHX1	Epoxide hydrolase 1	83 ng/L
ASPRV1	Aspartic peptidase retroviral like 1	83 ng/L
PSMD10	"Proteasome 26S subunit, non-ATPase 10"	82 ng/L
PLXNC1	Plexin C1	82 ng/L
NIT1	Nitrilase 1	82 ng/L
VSIG2	V-set and immunoglobulin domain containing 2	81 ng/L
GSK3B	Glycogen synthase kinase 3 beta	81 ng/L
SFXN3	Sideroflexin 3	81 ng/L
FOLR1	Folate receptor 1	81 ng/L
CISD2	CDGSH iron sulfur domain 2	80 ng/L
PRRC1	Proline rich coiled-coil 1	80 ng/L
MYO18A	Myosin XVIIIA	80 ng/L
PCCB	Propionyl-CoA carboxylase beta subunit	79 ng/L
ITGB4	Integrin subunit beta 4	79 ng/L
ADAM22	ADAM metallopeptidase domain 22	78 ng/L
PSMD11	"Proteasome 26S subunit, non-ATPase 11"	78 ng/L
PLA2G4A	Phospholipase A2 group IVA	78 ng/L
MGAT3	"Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"	78 ng/L
SLC44A2	Solute carrier family 44 member 2	78 ng/L
GLCE	Glucuronic acid epimerase	78 ng/L
TPK1	Thiamin pyrophosphokinase 1	78 ng/L
RP2	"RP2, ARL3 GTPase activating protein"	77 ng/L
HSD11B1	Hydroxysteroid 11-beta dehydrogenase 1	77 ng/L
SYNCRIP	Synaptotagmin binding cytoplasmic RNA interacting protein	77 ng/L
PAXX	"PAXX, non-homologous end joining factor"	77 ng/L
APIP	APAF1 interacting protein	77 ng/L
SEMA3D	Semaphorin 3D	77 ng/L
BANF1	Barrier to autointegration factor 1	77 ng/L
RPL23	Ribosomal protein L23	76 ng/L
GGACT	Gamma-glutamylamine cyclotransferase	75 ng/L
DCHS1	Dachsous cadherin-related 1	75 ng/L
PPP1R14B	Protein phosphatase 1 regulatory inhibitor subunit 14B	75 ng/L
SNRPE	Small nuclear ribonucleoprotein polypeptide E	75 ng/L
ERO1A	Endoplasmic reticulum oxidoreductase 1 alpha	75 ng/L
LAT	Linker for activation of T cells	75 ng/L
LIFR	LIF receptor alpha	74 ng/L
DOK1	Docking protein 1	74 ng/L
B4GALT3	"Beta-1,4-galactosyltransferase 3"	74 ng/L
PCDHGC3	"Protocadherin gamma subfamily C, 3"	74 ng/L
PGM3	Phosphoglucomutase 3	73 ng/L
EIF4A3	Eukaryotic translation initiation factor 4A3	73 ng/L
CNTNAP4	Contactin associated protein like 4	73 ng/L
NHLRC2	NHL repeat containing 2	73 ng/L
NDST2	N-deacetylase and N-sulfotransferase 2	72 ng/L
INSR	Insulin receptor	72 ng/L
GCNT1	"Glucosaminyl (N-acetyl) transferase 1, core 2"	72 ng/L
CLCA1	Chloride channel accessory 1	70 ng/L
DCUN1D1	Defective in cullin neddylation 1 domain containing 1	70 ng/L
RPS24	Ribosomal protein S24	70 ng/L
CDH11	Cadherin 11	70 ng/L
MYCT1	MYC target 1	69 ng/L
ITPA	Inosine triphosphatase	69 ng/L
NDUFA5	NADH:ubiquinone oxidoreductase subunit A5	69 ng/L
GHRL	Ghrelin and obestatin prepropeptide	69 ng/L
AMDHD2	Amidohydrolase domain containing 2	69 ng/L
BPIFB2	BPI fold containing family B member 2	68 ng/L
AK3	Adenylate kinase 3	68 ng/L
EXTL1	Exostosin like glycosyltransferase 1	68 ng/L
ENPP6	Ectonucleotide pyrophosphatase/phosphodiesterase 6	68 ng/L
TCAP	Titin-cap	68 ng/L
MGAM	Maltase-glucoamylase	68 ng/L
HAL	Histidine ammonia-lyase	67 ng/L
EPS15	Epidermal growth factor receptor pathway substrate 15	67 ng/L
CTSG	Cathepsin G	67 ng/L
PSMC4	"Proteasome 26S subunit, ATPase 4"	66 ng/L
ADD2	Adducin 2	66 ng/L
COPS7A	COP9 signalosome subunit 7A	66 ng/L
IVD	Isovaleryl-CoA dehydrogenase	66 ng/L
CLCA2	Chloride channel accessory 2	66 ng/L
ASAP2	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2"	66 ng/L
ISLR2	Immunoglobulin superfamily containing leucine rich repeat 2	66 ng/L
TOM1L2	Target of myb1 like 2 membrane trafficking protein	66 ng/L
AMACR	Alpha-methylacyl-CoA racemase	65 ng/L
NCK2	NCK adaptor protein 2	64 ng/L
CSE1L	Chromosome segregation 1 like	64 ng/L
HNMT	Histamine N-methyltransferase	64 ng/L
ACP6	"Acid phosphatase 6, lysophosphatidic"	64 ng/L
PGRMC2	Progesterone receptor membrane component 2	64 ng/L
PGM2L1	Phosphoglucomutase 2 like 1	64 ng/L
ADGRL1	Adhesion G protein-coupled receptor L1	63 ng/L
DHRS7	Dehydrogenase/reductase 7	63 ng/L
TNNC2	"Troponin C2, fast skeletal type"	63 ng/L
RPS3A	Ribosomal protein S3A	63 ng/L
LRP1B	LDL receptor related protein 1B	63 ng/L
ACADSB	Acyl-CoA dehydrogenase short/branched chain	63 ng/L
GSTZ1	Glutathione S-transferase zeta 1	62 ng/L
MAP2K1	Mitogen-activated protein kinase kinase 1	62 ng/L
CNPY2	Canopy FGF signaling regulator 2	62 ng/L
ATP6V1E1	ATPase H+ transporting V1 subunit E1	61 ng/L
C1orf68	Chromosome 1 open reading frame 68	61 ng/L
DNASE1L1	Deoxyribonuclease 1 like 1	60 ng/L
PFDN2	Prefoldin subunit 2	60 ng/L
SCFD1	Sec1 family domain containing 1	59 ng/L
FCER2	Fc fragment of IgE receptor II	59 ng/L
GCHFR	GTP cyclohydrolase I feedback regulator	59 ng/L
HHIPL1	HHIP like 1	59 ng/L
NOTUM	"Notum, palmitoleoyl-protein carboxylesterase"	59 ng/L
ELANE	"Elastase, neutrophil expressed"	59 ng/L
SERPINB13	Serpin family B member 13	59 ng/L
AP1M1	Adaptor related protein complex 1 mu 1 subunit	58 ng/L
FERMT2	Fermitin family member 2	58 ng/L
PLAU	"Plasminogen activator, urokinase"	58 ng/L
PLXNA3	Plexin A3	58 ng/L
RHOF	"Ras homolog family member F, filopodia associated"	58 ng/L
EFCAB14	EF-hand calcium binding domain 14	58 ng/L
COPS6	COP9 signalosome subunit 6	58 ng/L
SF3B2	Splicing factor 3b subunit 2	57 ng/L
CCDC80	Coiled-coil domain containing 80	57 ng/L
PMPCB	"Peptidase, mitochondrial processing beta subunit"	57 ng/L
PIP4P2	"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"	57 ng/L
FAM3B	Family with sequence similarity 3 member B	57 ng/L
CCL23	C-C motif chemokine ligand 23	57 ng/L
YBX3	Y-box binding protein 3	56 ng/L
AMH	Anti-Mullerian hormone	56 ng/L
RPS13	Ribosomal protein S13	56 ng/L
RPL15	Ribosomal protein L15	56 ng/L
MTCH2	Mitochondrial carrier 2	55 ng/L
SBDS	"SBDS, ribosome maturation factor"	55 ng/L
PTRHD1	Peptidyl-tRNA hydrolase domain containing 1	55 ng/L
COL4A1	Collagen type IV alpha 1 chain	55 ng/L
SEC23A	"Sec23 homolog A, coat complex II component"	54 ng/L
FLT1	Fms related tyrosine kinase 1	54 ng/L
RPS25	Ribosomal protein S25	54 ng/L
UBAC1	UBA domain containing 1	54 ng/L
SRPRB	SRP receptor beta subunit	54 ng/L
SCG2	Secretogranin II	54 ng/L
OGDH	Oxoglutarate dehydrogenase	53 ng/L
GIT1	GIT ArfGAP 1	53 ng/L
NLN	Neurolysin	53 ng/L
PLVAP	Plasmalemma vesicle associated protein	53 ng/L
NAE1	NEDD8 activating enzyme E1 subunit 1	53 ng/L
COX6C	Cytochrome c oxidase subunit 6C	53 ng/L
RPL13	Ribosomal protein L13	53 ng/L
CPNE3	Copine 3	52 ng/L
RPS19	Ribosomal protein S19	52 ng/L
SPR	Sepiapterin reductase	52 ng/L
NCKAP1L	NCK associated protein 1 like	52 ng/L
EIF2S1	Eukaryotic translation initiation factor 2 subunit alpha	52 ng/L
RPS8	Ribosomal protein S8	52 ng/L
RPL30	Ribosomal protein L30	52 ng/L
SF1	Splicing factor 1	52 ng/L
HARS	Histidyl-tRNA synthetase	52 ng/L
ASNA1	"ArsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"	52 ng/L
HSD17B8	Hydroxysteroid 17-beta dehydrogenase 8	52 ng/L
MCTS1	"MCTS1, re-initiation and release factor"	52 ng/L
CHORDC1	Cysteine and histidine rich domain containing 1	51 ng/L
ASPDH	Aspartate dehydrogenase domain containing	51 ng/L
EIF4B	Eukaryotic translation initiation factor 4B	50 ng/L
TNNT2	"Troponin T2, cardiac type"	50 ng/L
CNRIP1	Cannabinoid receptor interacting protein 1	50 ng/L
HNRNPR	Heterogeneous nuclear ribonucleoprotein R	50 ng/L
HP1BP3	Heterochromatin protein 1 binding protein 3	50 ng/L
SGCE	Sarcoglycan epsilon	50 ng/L
CLSTN3	Calsyntenin 3	50 ng/L
TNKS1BP1	Tankyrase 1 binding protein 1	50 ng/L
VEGFC	Vascular endothelial growth factor C	50 ng/L
IL4R	Interleukin 4 receptor	49 ng/L
ADGRB2	Adhesion G protein-coupled receptor B2	49 ng/L
CHMP2A	Charged multivesicular body protein 2A	49 ng/L
CACNA2D3	Calcium voltage-gated channel auxiliary subunit alpha2delta 3	49 ng/L
PSMD1	"Proteasome 26S subunit, non-ATPase 1"	49 ng/L
PSMD13	"Proteasome 26S subunit, non-ATPase 13"	49 ng/L
SLC39A10	Solute carrier family 39 member 10	49 ng/L
ATP6V1H	ATPase H+ transporting V1 subunit H	48 ng/L
EIF3M	Eukaryotic translation initiation factor 3 subunit M	48 ng/L
GUSB	Glucuronidase beta	48 ng/L
GPR37	G protein-coupled receptor 37	48 ng/L
PPP5C	Protein phosphatase 5 catalytic subunit	47 ng/L
LAMP3	Lysosomal associated membrane protein 3	47 ng/L
TNPO1	Transportin 1	47 ng/L
HBQ1	Hemoglobin subunit theta 1	47 ng/L
GNPTAB	N-acetylglucosamine-1-phosphate transferase alpha and beta subunits	47 ng/L
RGN	Regucalcin	47 ng/L
FSHB	Follicle stimulating hormone beta subunit	47 ng/L
APPL2	"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"	47 ng/L
RUVBL1	RuvB like AAA ATPase 1	47 ng/L
DDX1	DEAD-box helicase 1	46 ng/L
PSMC1	"Proteasome 26S subunit, ATPase 1"	46 ng/L
FABP2	Fatty acid binding protein 2	46 ng/L
ADM	Adrenomedullin	46 ng/L
PGP	Phosphoglycolate phosphatase	46 ng/L
TMED9	Transmembrane p24 trafficking protein 9	46 ng/L
SMPX	"Small muscle protein, X-linked"	45 ng/L
CLEC11A	C-type lectin domain containing 11A	45 ng/L
IST1	"IST1, ESCRT-III associated factor"	45 ng/L
ALDH5A1	Aldehyde dehydrogenase 5 family member A1	44 ng/L
RRBP1	Ribosome binding protein 1	44 ng/L
SEC14L4	SEC14 like lipid binding 4	44 ng/L
MYBPC3	"Myosin binding protein C, cardiac"	44 ng/L
OTOA	Otoancorin	44 ng/L
PSMD12	"Proteasome 26S subunit, non-ATPase 12"	44 ng/L
DUSP14	Dual specificity phosphatase 14	44 ng/L
RTCB	"RNA 2',3'-cyclic phosphate and 5'-OH ligase"	43 ng/L
USO1	USO1 vesicle transport factor	43 ng/L
CNBP	CCHC-type zinc finger nucleic acid binding protein	43 ng/L
HSPB7	Heat shock protein family B (small) member 7	43 ng/L
GAST	Gastrin	43 ng/L
PPP3R1	"Protein phosphatase 3 regulatory subunit B, alpha"	43 ng/L
TPD52	Tumor protein D52	42 ng/L
RENBP	Renin binding protein	42 ng/L
SPOCK2	"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2"	42 ng/L
UGDH	UDP-glucose 6-dehydrogenase	42 ng/L
CD101	CD101 molecule	42 ng/L
ITGA11	Integrin subunit alpha 11	42 ng/L
ITGB7	Integrin subunit beta 7	42 ng/L
HFE2	Hemochromatosis type 2 (juvenile)	42 ng/L
NCKIPSD	NCK interacting protein with SH3 domain	42 ng/L
SERPINB10	Serpin family B member 10	42 ng/L
GMDS	"GDP-mannose 4,6-dehydratase"	41 ng/L
RCN2	Reticulocalbin 2	41 ng/L
FURIN	"Furin, paired basic amino acid cleaving enzyme"	41 ng/L
EML4	Echinoderm microtubule associated protein like 4	41 ng/L
SLC9A9	Solute carrier family 9 member A9	41 ng/L
PAPPA	Pappalysin 1	41 ng/L
C6orf58	Chromosome 6 open reading frame 58	41 ng/L
GCN1	"GCN1, eIF2 alpha kinase activator homolog"	40 ng/L
PDAP1	PDGFA associated protein 1	40 ng/L
CBX3	Chromobox 3	40 ng/L
DKC1	Dyskerin pseudouridine synthase 1	40 ng/L
FAM129A	Family with sequence similarity 129 member A	40 ng/L
TRA2B	Transformer 2 beta homolog	40 ng/L
MGST3	Microsomal glutathione S-transferase 3	40 ng/L
COPG2	Coatomer protein complex subunit gamma 2	40 ng/L
ALDH4A1	Aldehyde dehydrogenase 4 family member A1	40 ng/L
NLGN1	Neuroligin 1	40 ng/L
YOD1	YOD1 deubiquitinase	40 ng/L
HDAC6	Histone deacetylase 6	39 ng/L
PARP1	Poly(ADP-ribose) polymerase 1	39 ng/L
PSMC2	"Proteasome 26S subunit, ATPase 2"	39 ng/L
RPS17	Ribosomal protein S17	39 ng/L
ARAP1	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"	39 ng/L
MVP	Major vault protein	38 ng/L
NRBP1	Nuclear receptor binding protein 1	38 ng/L
SLIRP	SRA stem-loop interacting RNA binding protein	38 ng/L
GAMT	Guanidinoacetate N-methyltransferase	38 ng/L
PCSK6	Proprotein convertase subtilisin/kexin type 6	38 ng/L
FEN1	Flap structure-specific endonuclease 1	38 ng/L
KPNA2	Karyopherin subunit alpha 2	38 ng/L
TSPAN32	Tetraspanin 32	37 ng/L
ITPR1	"Inositol 1,4,5-trisphosphate receptor type 1"	37 ng/L
CD96	CD96 molecule	37 ng/L
RPS16	Ribosomal protein S16	36 ng/L
IGF1R	Insulin like growth factor 1 receptor	36 ng/L
CRNN	Cornulin	36 ng/L
OPRPN	Opiorphin prepropeptide	36 ng/L
CBX1	Chromobox 1	35 ng/L
HPCAL1	Hippocalcin like 1	35 ng/L
TRIM25	Tripartite motif containing 25	35 ng/L
PPP3CA	Protein phosphatase 3 catalytic subunit alpha	35 ng/L
EFHD2	EF-hand domain family member D2	35 ng/L
ADPGK	ADP dependent glucokinase	35 ng/L
NLRX1	NLR family member X1	35 ng/L
GOLGB1	Golgin B1	35 ng/L
PENK	Proenkephalin	35 ng/L
PPIL3	Peptidylprolyl isomerase like 3	35 ng/L
TOLLIP	Toll interacting protein	34 ng/L
STRN4	Striatin 4	34 ng/L
SNAP29	Synaptosome associated protein 29	34 ng/L
VPS4B	Vacuolar protein sorting 4 homolog B	34 ng/L
HECTD3	HECT domain E3 ubiquitin protein ligase 3	34 ng/L
UBE2L6	Ubiquitin conjugating enzyme E2 L6	34 ng/L
XXYLT1	Xyloside xylosyltransferase 1	34 ng/L
MYADM	Myeloid associated differentiation marker	34 ng/L
MDP1	Magnesium dependent phosphatase 1	34 ng/L
DYNC1I2	Dynein cytoplasmic 1 intermediate chain 2	33 ng/L
CIRBP	Cold inducible RNA binding protein	33 ng/L
ASPN	Asporin	33 ng/L
TPST2	Tyrosylprotein sulfotransferase 2	33 ng/L
COPS7B	COP9 signalosome subunit 7B	33 ng/L
CBR4	Carbonyl reductase 4	33 ng/L
GGT6	Gamma-glutamyltransferase 6	33 ng/L
PRKG1	"Protein kinase, cGMP-dependent, type I"	33 ng/L
KLRK1	Killer cell lectin like receptor K1	33 ng/L
MYOM1	Myomesin 1	32 ng/L
HS1BP3	HCLS1 binding protein 3	32 ng/L
LRRN4	Leucine rich repeat neuronal 4	32 ng/L
MICAL1	"Microtubule associated monooxygenase, calponin and LIM domain containing 1"	32 ng/L
PTK2	Protein tyrosine kinase 2	32 ng/L
CHMP6	Charged multivesicular body protein 6	32 ng/L
C4orf48	Chromosome 4 open reading frame 48	32 ng/L
DNAJA2	DnaJ heat shock protein family (Hsp40) member A2	31 ng/L
ANGPT2	Angiopoietin 2	31 ng/L
PDCD5	Programmed cell death 5	31 ng/L
PCDH17	Protocadherin 17	31 ng/L
PNKD	Paroxysmal nonkinesigenic dyskinesia	31 ng/L
PTMS	Parathymosin	31 ng/L
AGR3	"Anterior gradient 3, protein disulphide isomerase family member"	31 ng/L
XYLT1	Xylosyltransferase 1	30 ng/L
SNRNP70	Small nuclear ribonucleoprotein U1 subunit 70	30 ng/L
DHX15	DEAH-box helicase 15	30 ng/L
PIN1	"Peptidylprolyl cis/trans isomerase, NIMA-interacting 1"	30 ng/L
RPL27	Ribosomal protein L27	30 ng/L
SQOR	Sulfide quinone oxidoreductase	30 ng/L
VAV1	Vav guanine nucleotide exchange factor 1	30 ng/L
MVD	Mevalonate diphosphate decarboxylase	30 ng/L
C1QTNF1	C1q and TNF related 1	30 ng/L
MYO1C	Myosin IC	30 ng/L
IPO9	Importin 9	30 ng/L
SEMA3B	Semaphorin 3B	29 ng/L
DAPP1	Dual adaptor of phosphotyrosine and 3-phosphoinositides 1	29 ng/L
CA12	Carbonic anhydrase 12	29 ng/L
ACOT7	Acyl-CoA thioesterase 7	29 ng/L
MCM3	Minichromosome maintenance complex component 3	29 ng/L
FAM162A	Family with sequence similarity 162 member A	29 ng/L
TNNI2	"Troponin I2, fast skeletal type"	29 ng/L
EPRS	Glutamyl-prolyl-tRNA synthetase	29 ng/L
COPS3	COP9 signalosome subunit 3	29 ng/L
ADD3	Adducin 3	29 ng/L
TPPP3	Tubulin polymerization promoting protein family member 3	29 ng/L
TNFSF13	TNF superfamily member 13	29 ng/L
CAVIN1	Caveolae associated protein 1	29 ng/L
VPS13A	Vacuolar protein sorting 13 homolog A	29 ng/L
ATP2C1	ATPase secretory pathway Ca2+ transporting 1	28 ng/L
PICALM	Phosphatidylinositol binding clathrin assembly protein	28 ng/L
MFNG	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	28 ng/L
AHSA1	Activator of HSP90 ATPase activity 1	28 ng/L
STEAP3	STEAP3 metalloreductase	28 ng/L
TROVE2	TROVE domain family member 2	28 ng/L
NUP210	Nucleoporin 210	28 ng/L
GLUL	Glutamate-ammonia ligase	28 ng/L
CD27	CD27 molecule	28 ng/L
PRPSAP2	Phosphoribosyl pyrophosphate synthetase associated protein 2	28 ng/L
SNX12	Sorting nexin 12	28 ng/L
NADK2	"NAD kinase 2, mitochondrial"	28 ng/L
APPL1	"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"	28 ng/L
AGFG1	ArfGAP with FG repeats 1	28 ng/L
MYLPF	"Myosin light chain, phosphorylatable, fast skeletal muscle"	28 ng/L
SRSF10	Serine and arginine rich splicing factor 10	28 ng/L
ENTPD4	Ectonucleoside triphosphate diphosphohydrolase 4	28 ng/L
RPL17	Ribosomal protein L17	28 ng/L
HACD3	3-hydroxyacyl-CoA dehydratase 3	27 ng/L
KIAA1549L	KIAA1549 like	27 ng/L
COPS5	COP9 signalosome subunit 5	27 ng/L
HS6ST1	Heparan sulfate 6-O-sulfotransferase 1	27 ng/L
NPC1	NPC intracellular cholesterol transporter 1	27 ng/L
FBLN7	Fibulin 7	27 ng/L
NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	27 ng/L
ADAM17	ADAM metallopeptidase domain 17	27 ng/L
RBBP4	"RB binding protein 4, chromatin remodeling factor"	27 ng/L
FRZB	Frizzled related protein	27 ng/L
GP2	Glycoprotein 2	27 ng/L
ATOX1	Antioxidant 1 copper chaperone	27 ng/L
SMOC1	SPARC related modular calcium binding 1	27 ng/L
IARS2	"Isoleucyl-tRNA synthetase 2, mitochondrial"	26 ng/L
CAD	"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	26 ng/L
SMS	Spermine synthase	26 ng/L
REEP6	Receptor accessory protein 6	26 ng/L
TINAG	Tubulointerstitial nephritis antigen	26 ng/L
FXYD2	FXYD domain containing ion transport regulator 2	26 ng/L
SNRPF	Small nuclear ribonucleoprotein polypeptide F	26 ng/L
SUOX	Sulfite oxidase	26 ng/L
ATG3	Autophagy related 3	26 ng/L
SRL	Sarcalumenin	26 ng/L
SLITRK2	SLIT and NTRK like family member 2	26 ng/L
LSM2	"LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated"	26 ng/L
IPO7	Importin 7	26 ng/L
MSR1	Macrophage scavenger receptor 1	25 ng/L
CHMP4B	Charged multivesicular body protein 4B	25 ng/L
RBBP7	"RB binding protein 7, chromatin remodeling factor"	25 ng/L
EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	25 ng/L
GLS	Glutaminase	25 ng/L
CTH	Cystathionine gamma-lyase	25 ng/L
BBOX1	Gamma-butyrobetaine hydroxylase 1	25 ng/L
GALNT15	Polypeptide N-acetylgalactosaminyltransferase 15	25 ng/L
EGF	Epidermal growth factor	25 ng/L
DPT	Dermatopontin	25 ng/L
ASAP1	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	25 ng/L
TNNI1	"Troponin I1, slow skeletal type"	25 ng/L
EHBP1L1	EH domain binding protein 1 like 1	25 ng/L
MSRA	Methionine sulfoxide reductase A	25 ng/L
DCC	DCC netrin 1 receptor	25 ng/L
STK10	Serine/threonine kinase 10	24 ng/L
RBM3	RNA binding motif protein 3	24 ng/L
RHEB	"Ras homolog, mTORC1 binding"	24 ng/L
ADAM23	ADAM metallopeptidase domain 23	24 ng/L
ALDH8A1	Aldehyde dehydrogenase 8 family member A1	24 ng/L
ETF1	Eukaryotic translation termination factor 1	24 ng/L
XPO7	Exportin 7	24 ng/L
CERS2	Ceramide synthase 2	24 ng/L
LACTB2	Lactamase beta 2	24 ng/L
RPL9	Ribosomal protein L9	24 ng/L
PDGFD	Platelet derived growth factor D	24 ng/L
MANEAL	Mannosidase endo-alpha like	24 ng/L
XRCC6	X-ray repair cross complementing 6	24 ng/L
ENTPD7	Ectonucleoside triphosphate diphosphohydrolase 7	24 ng/L
CTSO	Cathepsin O	24 ng/L
ALDH18A1	Aldehyde dehydrogenase 18 family member A1	23 ng/L
SNRPA	Small nuclear ribonucleoprotein polypeptide A	23 ng/L
LY9	Lymphocyte antigen 9	23 ng/L
RRAS	RAS related	23 ng/L
HRC	Histidine rich calcium binding protein	23 ng/L
PDE3A	Phosphodiesterase 3A	23 ng/L
VARS	Valyl-tRNA synthetase	23 ng/L
HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U like 2	23 ng/L
VTA1	Vesicle trafficking 1	22 ng/L
THRAP3	Thyroid hormone receptor associated protein 3	22 ng/L
RPL31	Ribosomal protein L31	22 ng/L
EIF3B	Eukaryotic translation initiation factor 3 subunit B	22 ng/L
AGR2	"Anterior gradient 2, protein disulphide isomerase family member"	22 ng/L
METAP2	Methionyl aminopeptidase 2	22 ng/L
STAT1	Signal transducer and activator of transcription 1	22 ng/L
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	22 ng/L
RPL21	Ribosomal protein L21	22 ng/L
CGREF1	Cell growth regulator with EF-hand domain 1	22 ng/L
SEC31A	"SEC31 homolog A, COPII coat complex component"	22 ng/L
ENSA	Endosulfine alpha	22 ng/L
PDK1	Pyruvate dehydrogenase kinase 1	22 ng/L
SCG5	Secretogranin V	22 ng/L
CHST11	Carbohydrate sulfotransferase 11	22 ng/L
ACSL5	Acyl-CoA synthetase long chain family member 5	22 ng/L
ADGRG1	Adhesion G protein-coupled receptor G1	22 ng/L
TRABD2B	TraB domain containing 2B	22 ng/L
ATP6V0A1	ATPase H+ transporting V0 subunit a1	21 ng/L
ATP2B4	ATPase plasma membrane Ca2+ transporting 4	21 ng/L
CAMK2A	Calcium/calmodulin dependent protein kinase II alpha	21 ng/L
EIF5	Eukaryotic translation initiation factor 5	21 ng/L
OAS3	2'-5'-oligoadenylate synthetase 3	21 ng/L
COL10A1	Collagen type X alpha 1 chain	21 ng/L
ITFG1	Integrin alpha FG-GAP repeat containing 1	21 ng/L
PTPRA	"Protein tyrosine phosphatase, receptor type A"	21 ng/L
LRIG1	Leucine rich repeats and immunoglobulin like domains 1	21 ng/L
VPS26B	"VPS26, retromer complex component B"	21 ng/L
BMP6	Bone morphogenetic protein 6	21 ng/L
NPTN	Neuroplastin	21 ng/L
MARS	Methionyl-tRNA synthetase	21 ng/L
KYAT1	Kynurenine aminotransferase 1	21 ng/L
QARS	Glutaminyl-tRNA synthetase	21 ng/L
DIABLO	Diablo IAP-binding mitochondrial protein	21 ng/L
PLCG2	Phospholipase C gamma 2	21 ng/L
DIABLO	Diablo IAP-binding mitochondrial protein	21 ng/L
SGTA	Small glutamine rich tetratricopeptide repeat containing alpha	20 ng/L
HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U like 1	20 ng/L
KHDRBS1	"KH RNA binding domain containing, signal transduction associated 1"	20 ng/L
ATP8A1	ATPase phospholipid transporting 8A1	20 ng/L
PLPBP	Pyridoxal phosphate binding protein	20 ng/L
WFDC12	WAP four-disulfide core domain 12	20 ng/L
TTC36	Tetratricopeptide repeat domain 36	20 ng/L
IL17RA	Interleukin 17 receptor A	20 ng/L
EPHB3	EPH receptor B3	20 ng/L
TTC38	Tetratricopeptide repeat domain 38	19 ng/L
TREM2	Triggering receptor expressed on myeloid cells 2	19 ng/L
SF3A1	Splicing factor 3a subunit 1	19 ng/L
SLC25A1	Solute carrier family 25 member 1	19 ng/L
HDDC2	HD domain containing 2	19 ng/L
RPL24	Ribosomal protein L24	19 ng/L
UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	19 ng/L
VPS26A	"VPS26, retromer complex component A"	19 ng/L
LRRC32	Leucine rich repeat containing 32	19 ng/L
SBSPON	Somatomedin B and thrombospondin type 1 domain containing	19 ng/L
IMPDH2	Inosine monophosphate dehydrogenase 2	19 ng/L
HSPB11	Heat shock protein family B (small) member 11	18 ng/L
NUDC	"Nuclear distribution C, dynein complex regulator"	18 ng/L
DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	18 ng/L
SH3GLB1	"SH3 domain containing GRB2 like, endophilin B1"	18 ng/L
HMGA1	High mobility group AT-hook 1	18 ng/L
ANP32E	Acidic nuclear phosphoprotein 32 family member E	18 ng/L
ENAH	"ENAH, actin regulator"	18 ng/L
